world_size,uav + ugv,headless,cpu,memory,memory_percent,speed_up
small,60,False,25.6875,550.73,1.6806840896606445,146.57055372627204
small,60,True,13.275,342.57,1.0454297065734863,196.27304006149024
small,90,False,25.5625,552.88,1.6872406005859375,105.1565450351714
small,90,True,13.2875,343.3,1.047670841217041,145.91955731417798
small,120,False,25.7125,552.31,1.6855239868164062,85.30272548801891
small,120,True,13.35,343.5,1.048266887664795,115.84956763505576
small,150,False,22.725,553.12,1.6880035400390625,42.2422498967688
small,150,True,13.325,344.26,1.0506033897399902,92.95214733928388
small,180,False,24.8625,550.23,1.6791820526123047,38.19215158998377
small,180,True,13.4125,343.93,1.0496020317077637,70.85482365555725
small,210,False,25.3375,552.84,1.6871452331542969,38.014524125491114
small,210,True,13.2875,346.2,1.056516170501709,63.23355846886587
medium,60,False,25.1625,585.32,1.7862439155578613,106.94919684863689
medium,60,True,13.4125,376.42,1.1487364768981934,211.87908133029856
medium,90,False,25.1125,580.97,1.7729759216308594,89.70306990460125
medium,90,True,13.275,376.84,1.1500358581542969,146.7256082820905
medium,120,False,24.975,582.65,1.778101921081543,52.65254040356183
medium,120,True,13.2625,370.39,1.130354404449463,110.81210920911263
medium,150,False,25.1625,585.9,1.788020133972168,49.00041283418859
medium,150,True,13.2625,379.26,1.1574149131774902,94.00275465531075
medium,180,False,25.2875,585.7,1.787424087524414,54.049166877766545
medium,180,True,13.25,376.7,1.149594783782959,78.26599785317583
medium,210,False,25.2,586.62,1.7902135848999023,47.59244679269252
medium,210,True,13.375,372.91,1.1380434036254883,68.3373931395512
large,60,False,25.1125,625.88,1.9100308418273926,149.14096336720206
large,60,True,13.2625,413.33,1.2613892555236816,205.06612293980072
large,90,False,25.425,625.92,1.9101500511169434,110.02787719401948
large,90,True,13.325,405.94,1.2388348579406738,156.20581789141227
large,120,False,25.15,620.52,1.8936634063720703,78.91377937800925
large,120,True,13.35,403.59,1.2316584587097168,119.8755648410738
large,150,False,25.2375,620.46,1.8934845924377441,58.24001380060107
large,150,True,13.1375,410.64,1.253187656402588,90.61124413056473
large,180,False,25.5625,625.16,1.9078373908996582,35.18066482498705
large,180,True,13.2,403.46,1.2312531471252441,75.23373392901208
large,210,False,25.0125,629.11,1.9198894500732422,45.97269500287706
large,210,True,13.225,410.9,1.253974437713623,65.72623515242486
